#Title: CHAOS IV: Gas-Phase Abundance Trends from the First Four CHAOS Galaxies 
#Authors: Berg D.A., Pogge R.W., Skillman E.D., Croxall K.V., Moustakas J.,
#        Rogers N.S.J., Sun J.
#--------------------------------------------------------------------------------
#   1- 19 A19    ---     Reg        NGC 3184 HII region slit ID (1)
# 136-140 F5.3   [-]     log(O/H)   Oxygen abundance, 12+log(O/H) 
# 142-146 F5.3   [-]   e_log(O/H)   Uncertainty in log(O/H) 
# 183-188 F6.3   [-]     log(N/O)   Nitrogen-to-oxygen abundance ratio, log 
# 190-194 F5.3   [-]   e_log(N/O)   Uncertainty in log(N/O) 
region               lgOH  e_lgOH  lgNO  e_lgNO
NGC5457-397.4-71.7   8.33  0.04   -1.06  0.07
NGC5457-226.9-366.4  8.28  0.06   -1.20  0.12
NGC5457-405.5-157.7  8.14  0.02   -1.02  0.04
NGC5457-345.5+273.8  8.35  0.04   -1.17  0.09
NGC5457-410.3-206.3  8.32  0.09   -1.14  0.14
NGC5457-371.1-280.0  8.33  0.03   -1.11  0.07
NGC5457-368.3-285.6  8.45  0.02   -1.12  0.05
NGC5457-455.7-55.8   8.18  0.03   -1.37  0.05
NGC5457-392.0-270.1  8.36  0.02   -1.09  0.06
NGC5457-414.1-253.6  8.28  0.03   -1.15  0.10
NGC5457-464.7-131.0  8.16  0.01   -1.34  0.05
NGC5457-466.1-128.2  8.01  0.04   -1.34  0.08
NGC5457-479.7-3.9    8.15  0.01   -0.90  0.07
NGC5457-481.4-0.5    7.95  0.03   -1.30  0.05
NGC5457-453.8-191.8  8.24  0.06   -1.38  0.13
NGC5457+331.9+401.0  8.23  0.01   -1.33  0.05
NGC5457+324.5+415.8  8.23  0.02   -1.31  0.05
NGC5457+315.3+434.4  8.33  0.01   -1.29  0.04
NGC5457-540.5-149.9  7.89  0.01   -1.33  0.07
NGC5457+509.5+264.1  8.29  0.06   -1.34  0.17
NGC5457+266.0+534.1  8.18  0.03   -1.37  0.05
NGC5457+667.9+174.1  8.16  0.02   -1.34  0.11
NGC5457+650.1+270.7  8.09  0.04   -1.35  0.08
NGC5457+692.1+272.9  8.10  0.04   -1.45  0.12
NGC5457+1.0+885.8    7.86  0.01   -1.46  0.02
NGC5457+6.6+886.3    7.92  0.01   -1.40  0.05
NGC5457-8.5+886.7    7.81  0.02   -1.42  0.06
