Valid,Comp,Source,RA,Dec,z,Cosmo,LDist,Type,Instrument,Line,Flux,Flux_err,Lum,Lum_err,FWHM,FWHM_err,Cont,Cont_err,LFIR,LFIR_err,LFIR_LIR,LFIR_LIR_err,LFIR_LIR_type,LIR,LIR_err,LIR_LFIR,LIR_LFIR_err,LIR_LFIR_type,Line_ref,Line_year,Line_ref_link,Cont_ref,Cont_year,Pub,Mag_min,Mag_max,Line_rf,Log_Lum,Log_Lum_me,Log_Lum_pe,
-,-,-,J2000.0,J2000.0,-,,[Mpc],-,-,-,[Jy km/s],[Jy km/s],[Lsun],[Lsun],[km/s],[km/s],[mJy],[mJy],[Lsun],[Lsun],[Lsun],[Lsun],,[Lsun],[Lsun],[Lsun],[Lsun],,-,-,-,-,-,-,-,-,[GHz],[Lsun],[Lsun],[Lsun],
S,M,AzTEC-1,"""09:59:42.860""","""+02:29:38.20""",4.342,,39520.32,SMG,ALMA,[OIII]88um,2.15,0.54,2.22E+09,5.57E+08,,,,,7.90E+12,0.00E+00,7.90E+12,0.00E+00,LFIR,,,7.90E+12,0.00E+00,LFIR,Tadaki+19,2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...876....1T/abstract,Tadaki+19,2019,1,1,1,3393.01,9.34599396,0.1256125839,0.09731382009,
S,M,DEIMOS_COSMOS_722679,"""09:59:44.91""","""+02:23:45.97""",5.7168,,54580.379,LBG,ALMA,[CII]158um,0.28,0.1,2.45E+08,8.77E+07,331,23,0,0.045,,,0.00E+00,9.00E+10,LIR,0.00E+00,9.00E+10,0.00E+00,9.00E+10,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.389980662,0.1918855262,0.1326255653,
S,M,AS2COS0066.1,"""09:59:46.6""","""+01:57:15.1""",3.247,Vanilla,27950.3,SMG,ALMA,[CI]609um,0.61,0.29,5.74E+07,2.73E+07,160,50,0.23,0.03,,,6.80E+12,9.00E+11,LIR,6.80E+12,9.00E+11,6.80E+12,9.00E+11,LIR,Frias-Castillo+24,2024,https://ui.adsabs.harvard.edu/abs/2024arXiv240405596F/abstract,Frias-Castillo+24,2024,1,1,1,492.16,7.759160174,0.2801798567,0.1689126744,
S,M,CRISTAL-14,"""09:59:47.072""","""+02:22:32.894""",4.4121,Vanilla,40253,MS,ALMA,[CII]158um,0.5,0.11,2.96E+08,6.51E+07,254,16,0,0.126,,,0.00E+00,1.67E+11,LIR,0.00E+00,1.67E+11,0.00E+00,1.67E+11,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.471112652,0.1079053973,0.08635983067,
S,M,CRISTAL-14,"""09:59:47.072""","""+02:22:32.894""",4.4121,Vanilla,40253,MS,ALMA,[CII]158um,0.33,0.08,1.95E+08,4.73E+07,307,33,0,0.03,,,0.00E+00,5.89E+10,LIR,0.00E+00,5.89E+10,0.00E+00,5.89E+10,LIR,Herrera-Camus+25,2025,Submitted,Herrera-Camus+25,2025,1,1,1,1900.547,8.290656587,0.1205739312,0.09426991684,
X,M,HZ9,"""09:59:51.69""","""+02:22:41.9""",5.548,"H0=67.74, OM=0.3103",52675.2,LAE,Compilation,[CII]158um,1.94E+00,3.62E-01,1.62E+09,3.04E+08,,,,,,,,,,,,,,,Harikane+18,2018,https://ui.adsabs.harvard.edu/abs/2018ApJ...859...84H/abstract,Harikane+18,2018,1,1,1,1900.547,9.21,0.09,0.07451272455,
S,M,DEIMOS_COSMOS_357722,"""09:59:52.03""","""+01:50:06.06""",5.6838,,54209.934,LBG,ALMA,[CII]158um,0.15,0.05,1.30E+08,4.35E+07,134,13,0,0.033,,,0.00E+00,6.70E+10,LIR,0.00E+00,6.70E+10,0.00E+00,6.70E+10,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.115137523,0.1760912591,0.1249387366,
S,M,DEIMOS_COSMOS_510660,"""09:59:53.16""","""+02:04:37.78""",4.548,,41742.684,LBG,ALMA,[CII]158um,0.71,0.2,4.41E+08,1.24E+08,540,79,0,0.085,,,0.00E+00,1.21E+11,LIR,0.00E+00,1.21E+11,0.00E+00,1.21E+11,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.64419459,0.1436881726,0.1077830436,
X,M,HZ1,"""09:59:53.23""","""+02:07:05.2""",5.69,"H0=67.74, OM=0.3096",54251.6,LAE,Compilation,[CII]158um,2.89E-01,1.51E-01,2.51E+08,1.31E+08,,,,,,,,,,,,,,,Harikane+18,2018,https://ui.adsabs.harvard.edu/abs/2018ApJ...859...84H/abstract,Harikane+18,2018,1,1,1,1900.547,8.4,0.32,0.1822348218,
S,M,CRISTAL-03,"""09:59:53.255""","""+02:07:05.358""",5.6886,Vanilla,54236.1,MS,ALMA,[CII]158um,0.9,0.18,7.82E+08,1.56E+08,621,21,0,0.041,,,7.24E+10,4.24E+10,LIR,7.24E+10,4.24E+10,7.24E+10,4.24E+10,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.893396144,0.09691001301,0.07918124605,
