 freq,	    tau,          Transmission
    3.59000E+01,   1.85137E-02,   9.81657E-01
    3.60000E+01,   1.88821E-02,   9.81295E-01
    3.61000E+01,   1.88725E-02,   9.81304E-01
    3.62000E+01,   1.89713E-02,   9.81207E-01
    3.63000E+01,   1.91173E-02,   9.81064E-01
    3.64000E+01,   1.92762E-02,   9.80908E-01
    3.65000E+01,   1.94410E-02,   9.80747E-01
    3.66000E+01,   1.96095E-02,   9.80582E-01
    3.67000E+01,   1.97821E-02,   9.80412E-01
    3.68000E+01,   1.99572E-02,   9.80241E-01
    3.69000E+01,   2.01360E-02,   9.80065E-01
    3.70000E+01,   2.03173E-02,   9.79888E-01
    3.71000E+01,   2.05012E-02,   9.79708E-01
    3.72000E+01,   2.06889E-02,   9.79524E-01
    3.73000E+01,   2.08800E-02,   9.79336E-01
    3.74000E+01,   2.10765E-02,   9.79144E-01
    3.75000E+01,   2.12808E-02,   9.78944E-01
    3.76000E+01,   2.14999E-02,   9.78730E-01
    3.77000E+01,   2.17591E-02,   9.78476E-01
    3.78000E+01,   2.22838E-02,   9.77963E-01
    3.79000E+01,   2.22929E-02,   9.77954E-01
    3.80000E+01,   2.23450E-02,   9.77903E-01
    3.81000E+01,   2.25152E-02,   9.77736E-01
    3.82000E+01,   2.27118E-02,   9.77544E-01
    3.83000E+01,   2.29219E-02,   9.77339E-01
    3.84000E+01,   2.31368E-02,   9.77129E-01
    3.85000E+01,   2.33567E-02,   9.76914E-01
    3.86000E+01,   2.35818E-02,   9.76694E-01
    3.87000E+01,   2.38108E-02,   9.76470E-01
    3.88000E+01,   2.40445E-02,   9.76242E-01
    3.89000E+01,   2.42817E-02,   9.76011E-01
    3.90000E+01,   2.45233E-02,   9.75775E-01
    3.91000E+01,   2.47815E-02,   9.75523E-01
    3.92000E+01,   2.50217E-02,   9.75289E-01
    3.93000E+01,   2.52747E-02,   9.75042E-01
    3.94000E+01,   2.55530E-02,   9.74771E-01
    3.95000E+01,   2.58035E-02,   9.74527E-01
    3.96000E+01,   2.60525E-02,   9.74284E-01
    3.97000E+01,   2.63176E-02,   9.74026E-01
    3.98000E+01,   2.65889E-02,   9.73761E-01
    3.99000E+01,   2.68649E-02,   9.73493E-01
    4.00000E+01,   2.71466E-02,   9.73219E-01
    4.01000E+01,   2.74338E-02,   9.72939E-01
    4.02000E+01,   2.77237E-02,   9.72657E-01
    4.03000E+01,   2.80185E-02,   9.72370E-01
    4.04000E+01,   2.83194E-02,   9.72078E-01
    4.05000E+01,   2.86245E-02,   9.71781E-01
    4.06000E+01,   2.89356E-02,   9.71479E-01
    4.07000E+01,   2.92517E-02,   9.71172E-01
    4.08000E+01,   2.95729E-02,   9.70860E-01
    4.09000E+01,   2.98992E-02,   9.70543E-01
    4.10000E+01,   3.02317E-02,   9.70221E-01
    4.11000E+01,   3.05692E-02,   9.69893E-01
    4.12000E+01,   3.09135E-02,   9.69559E-01
    4.13000E+01,   3.12631E-02,   9.69221E-01
    4.14000E+01,   3.16188E-02,   9.68876E-01
    4.15000E+01,   3.19814E-02,   9.68525E-01
    4.16000E+01,   3.23502E-02,   9.68167E-01
    4.17000E+01,   3.27253E-02,   9.67804E-01
    4.18000E+01,   3.31077E-02,   9.67434E-01
    4.19000E+01,   3.35001E-02,   9.67055E-01
    4.20000E+01,   3.38942E-02,   9.66674E-01
    4.21000E+01,   3.42973E-02,   9.66284E-01
    4.22000E+01,   3.47095E-02,   9.65886E-01
    4.23000E+01,   3.51298E-02,   9.65480E-01
    4.24000E+01,   3.55612E-02,   9.65064E-01
    4.25000E+01,   3.59990E-02,   9.64641E-01
    4.26000E+01,   3.64532E-02,   9.64203E-01
    4.27000E+01,   3.69369E-02,   9.63737E-01
    4.28000E+01,   3.75666E-02,   9.63130E-01
    4.29000E+01,   3.79345E-02,   9.62776E-01
    4.30000E+01,   3.83304E-02,   9.62395E-01
    4.31000E+01,   3.87981E-02,   9.61945E-01
    4.32000E+01,   3.92958E-02,   9.61466E-01
    4.33000E+01,   3.97978E-02,   9.60984E-01
    4.34000E+01,   4.03277E-02,   9.60475E-01
    4.35000E+01,   4.08976E-02,   9.59927E-01
    4.36000E+01,   4.16243E-02,   9.59230E-01
    4.37000E+01,   4.22081E-02,   9.58670E-01
    4.38000E+01,   4.25651E-02,   9.58328E-01
    4.39000E+01,   4.30903E-02,   9.57825E-01
    4.40000E+01,   4.36335E-02,   9.57305E-01
    4.41000E+01,   4.42147E-02,   9.56749E-01
    4.42000E+01,   4.48156E-02,   9.56174E-01
    4.43000E+01,   4.54318E-02,   9.55585E-01
    4.44000E+01,   4.60646E-02,   9.54980E-01
    4.45000E+01,   4.67122E-02,   9.54362E-01
