# TABLE 1  Fit parameters for photoionization cross sections from Verner+1996, ApJ, 465, 487.
# Energies are in eV, sigma in Mb = 1e-18 cm2
Element Ion      Z  N   Eth      Emax      E0     sigma0    ya        P        yw       y0       y1  Notes
Na      4       11  8 9.892e+1 1.143e+3 6.690e-1 2.330e+0 1.205e+2 9.714e+0 7.365e-1 1.383e+2 4.260e+0 C
Na      5       11  7 1.384e+2 1.185e+3 5.408e+0 2.346e+1 2.913e+1 8.260e+0 9.275e-1 2.204e+1 7.577e-1 C
Na      6       11  6 1.722e+2 1.230e+3 4.846e+1 7.101e+1 3.945e+1 2.832e+0 1.285e-2 9.603e-4 6.378e-3 C
Na      7       11  5 2.085e+2 1.281e+3 2.096e+0 1.609e+0 2.473e+2 7.681e+0 1.895e+0 9.940e+1 3.278e+0 Cd
Mg      7       12  6 2.249e+2 1.501e+3 3.570e+0 3.104e+0 6.060e+1 8.857e+0 1.422e+0 5.452e+1 2.078e+0 C
Mg      8       12  5 2.660e+2 1.558e+3 4.884e-1 6.344e-2 5.085e+2 9.385e+0 6.666e-1 5.348e+2 3.997e-3 C
Mg      9       12  4 3.282e+2 1.618e+3 3.482e+1 9.008e+2 1.823e+0 1.444e+1 2.751e+0 5.444e+0 7.918e-2 C
Mg      10      12  3 3.675e+2 1.675e+3 1.452e+1 4.427e+1 3.826e+1 5.460e+0 0.000e+0 0.000e+0 0.000e+0 B
Mg      11      12  2 1.762e+3 5.000e+4 2.042e+2 6.140e+1 2.778e+1 2.161e+0 0.000e+0 0.000e+0 0.000e+0 B
Mg      12      12  1 1.963e+3 5.000e+4 6.203e+1 3.802e+2 3.288e+1 2.963e+0 0.000e+0 0.000e+0 0.000e+0 A
Al      1       13 13 5.986e+0 8.040e+1 1.381e+1 7.195e+0 1.621e+3 3.642e+0 3.166e-1 2.041e-1 4.753e-1 E
Al      2       13 12 1.883e+1 8.997e+1 2.048e-1 6.948e-2 5.675e+2 9.049e+0 4.615e-1 9.149e+1 6.565e-1 C
Al      3       13 11 2.845e+1 1.026e+2 1.027e+1 4.915e+0 1.990e+6 3.477e+0 0.000e+0 0.000e+0 0.000e+0 B
Al      4       13 10 1.200e+2 1.588e+3 3.130e+0 1.513e+1 1.674e+1 1.180e+1 5.342e+0 3.994e+1 4.803e+0 C
Al      5       13  9 1.538e+2 1.634e+3 2.414e+1 2.925e+2 6.973e+0 6.724e+0 1.000e-1 3.495e+0 2.701e-1 C
Al      6       13  8 1.905e+2 1.688e+3 3.483e-1 1.962e-2 1.856e+1 2.084e+1 8.839e+0 5.675e-2 2.768e-1 C
Al      7       13  7 2.414e+2 1.739e+3 2.636e+0 1.889e+2 1.338e+2 6.204e+0 1.836e+0 3.552e+1 8.223e-3 C
Al      8       13  6 2.846e+2 1.799e+3 4.866e-1 2.350e-1 7.216e+2 8.659e+0 2.773e-1 5.704e+2 1.580e-1 C
Al      9       13  5 3.301e+2 1.862e+3 1.842e+0 4.982e-1 2.568e+2 8.406e+0 6.945e-1 1.719e+2 6.595e+0 C
Al      10      13  4 3.994e+2 1.929e+3 8.044e+0 1.774e+4 1.653e+0 2.655e+1 2.953e+1 2.538e-2 1.203e-2 C
Al      11      13  3 4.421e+2 1.992e+3 2.355e+1 3.388e+1 3.432e+1 5.085e+0 0.000e+0 0.000e+0 0.000e+0 B
Al      12      13  2 2.086e+3 5.000e+4 2.738e+2 4.036e+1 3.567e+1 1.915e+0 0.000e+0 0.000e+0 0.000e+0 B
Al      13      13  1 2.304e+3 5.000e+4 7.281e+1 3.239e+2 3.288e+1 2.963e+0 0.000e+0 0.000e+0 0.000e+0 A
Si      1       14 14 8.152e+0 1.060e+2 2.317e+1 2.506e+1 2.057e+1 3.546e+0 2.837e-1 1.672e-5 4.207e-1 E
Si      2       14 13 1.635e+1 1.186e+2 2.556e+0 4.140e+0 1.337e+1 1.191e+1 1.570e+0 6.634e+0 1.272e-1 D
Si      3       14 12 3.349e+1 1.311e+2 1.659e-1 5.790e-4 1.474e+2 1.336e+1 8.626e-1 9.613e+1 6.442e-1 C
Si      4       14 11 4.514e+1 1.466e+2 1.288e+1 6.083e+0 1.356e+6 3.353e+0 0.000e+0 0.000e+0 0.000e+0 B
Si      5       14 10 1.668e+2 1.887e+3 7.761e-1 8.863e-1 1.541e+2 9.980e+0 1.303e+0 2.009e+2 4.537e+0 C
Si      6       14  9 2.051e+2 1.946e+3 6.305e+1 7.293e+1 1.558e+2 2.400e+0 2.989e-3 1.115e+0 8.051e-2 C
Si      7       14  8 2.465e+2 2.001e+3 3.277e-1 6.680e-2 4.132e+1 1.606e+1 3.280e+0 1.149e-2 6.396e-1 C
Si      8       14  7 3.032e+2 2.058e+3 7.655e-1 3.477e-1 3.733e+2 8.986e+0 1.476e-3 3.850e+2 8.999e-2 C
Si      9       14  6 3.511e+2 2.125e+3 3.343e-1 1.465e-1 1.404e+3 8.503e+0 1.646e+0 1.036e+3 2.936e-1 C
Si      10      14  5 4.014e+2 2.194e+3 8.787e-1 1.950e-1 7.461e+2 8.302e+0 4.489e-1 4.528e+2 1.015e+0 C
Si      11      14  4 4.761e+2 2.268e+3 1.205e+1 1.992e+4 1.582e+0 2.425e+1 2.392e+1 1.990e-2 1.007e-2 C
Si      12      14  3 5.235e+2 2.336e+3 3.560e+1 2.539e+1 3.307e+1 4.728e+0 0.000e+0 0.000e+0 0.000e+0 B
Si      13      14  2 2.438e+3 5.000e+4 2.752e+2 4.754e+1 2.848e+1 2.135e+0 0.000e+0 0.000e+0 0.000e+0 B
Si      14      14  1 2.673e+3 5.000e+4 8.447e+1 2.793e+2 3.288e+1 2.963e+0 0.000e+0 0.000e+0 0.000e+0 A
