 f1,f2,f3,lgn,   lgT,    lgZ, F_n2_10,F_n2_21,   F_c2, F_c1_10,F_c1_21, F_o1_10,F_o1_21,F_o1_op,F_o3_10,F_o3_21,   F_ha,   F_hb,   F_hg,  F_o3_32,F_o3_31,F_o3_43,F_o2_10,F_o2_20, F_n2_31,F_n2_32,  F_s2_a, F_s2_b,F_he1_a,F_he1_b,  F_n3
 F,F,ok,0.750, 4.000,  0.400,  -4.334, -4.368,  -3.548, -7.569, -8.270,  -6.562, -5.566, -5.099, -2.275, -2.523,  -2.971, -3.435, -3.764,  -2.009, -2.485, -4.207, -2.838, -3.011,  -3.677, -3.207,  -3.575, -3.733, -5.170, -4.738, -2.808
 F,F,ok,0.750, 4.500,  0.400,  -2.108, -2.103,  -1.316, -5.698, -6.384,  -6.340, -5.309, -4.772, -2.141, -2.332,  -2.560, -3.125, -3.491,  -1.245, -1.721, -2.484, -0.670, -0.835,  -1.708, -1.235,  -1.808, -1.950, -4.877, -4.346, -1.986
 F,F,ok,0.750, 5.000,  0.400,  -4.083, -4.046,  -3.106, -8.222, -8.895,  -8.780, -7.566, -7.477, -0.440, -0.534,  -2.954, -3.549, -3.941,  -0.578, -1.057, -1.561, -3.164, -3.324,  -4.177, -3.705,  -4.351, -4.480, -5.340, -4.831, -1.099
 F,F,ok,1.000, 1.500,  0.400,  -5.250, -6.107,  -4.919, -8.333, -8.543,  -8.267, -7.402,-10.734, -5.543, -6.951,  -2.424, -2.944, -3.294,  -9.094, -9.569, -9.633,-12.860,-13.000,  -6.938, -6.469,  -7.916, -7.871, -4.647, -4.183, -6.499
 F,F,ok,1.000, 2.000,  0.400,  -4.470, -4.497,  -3.954, -7.952, -8.264,  -8.022, -7.126,-10.484, -3.754, -5.021,  -2.407, -2.925, -3.274,  -8.751, -9.226, -9.303,-12.570,-12.706,  -6.765, -6.295,  -7.188, -7.404, -4.617, -4.154, -4.406
 F,F,ok,1.000, 2.500,  0.400,  -4.281, -4.135,  -3.788, -7.852, -8.373,  -7.665, -6.654,-10.365, -2.871, -3.400,  -2.415, -2.926, -3.274,  -8.281, -8.756, -8.881,-12.367,-12.511,  -6.758, -6.288,  -6.921, -7.217, -4.615, -4.153, -3.409
 F,F,ok,1.000, 3.000,  0.400,  -4.213, -4.109,  -3.538, -7.762, -8.417,  -7.205, -6.132,-10.287, -2.420, -2.727,  -2.457, -2.956, -3.299,  -7.934, -8.409, -8.578,-12.258,-12.409,  -6.839, -6.369,  -7.081, -7.353, -4.648, -4.192, -2.993
 F,F,ok,1.000, 3.500,  0.400,  -4.200, -4.159,  -3.374, -7.673, -8.426,  -6.747, -5.635, -7.638, -2.182, -2.440,  -2.551, -3.031, -3.367,  -4.586, -5.062, -8.366, -6.098, -6.270,  -5.386, -4.916,  -5.103, -5.261, -4.737, -4.293, -2.762
 F,F,ok,1.000, 4.000,  0.400,  -4.138, -4.103,  -3.379, -7.516, -8.301,  -6.314, -5.318, -4.850, -2.033, -2.270,  -2.721, -3.185, -3.514,  -1.759, -2.235, -3.957, -2.590, -2.761,  -3.430, -2.960,  -3.327, -3.483, -4.920, -4.488, -2.561
 F,F,ok,1.000, 4.500,  0.400,  -1.933, -1.853,  -1.140, -5.648, -6.422,  -6.090, -5.060, -4.524, -1.896, -2.079,  -2.311, -2.876, -3.242,  -0.994, -1.470, -2.233, -0.421, -0.585,  -1.460, -0.987,  -1.559, -1.700, -4.622, -4.084, -1.737
